,02-11-2018;teams_700.csv,03-11-2018;teams_700.csv,04-11-2018;teams_600.csv,05-11-2018;teams_700.csv,07-11-2018;teams_700.csv,09-11-2018;teams_700.csv,10-11-2018;teams_700.csv,21-11-2018;teams_700.csv,23-11-2018;teams_700.csv,26-11-2018;teams_700.csv,28-11-2018;teams_700.csv,21-12-2018;teams_700.csv,03-12-2018;teams_700.csv,05-12-2018;teams_700.csv,07-12-2018;teams_700.csv,08-12-2018;teams_700.csv,01-11-2018;teams_700.csv,06-11-2018;teams_700.csv,08-11-2018;teams_800.csv,23-11-2018;teams_800.csv,24-11-2018;teams_730.csv,25-11-2018;teams_600.csv,27-11-2018;teams_700.csv,28-11-2018;teams_800.csv,01-12-2018;teams_700.csv,03-12-2018;teams_730.csv,04-12-2018;teams_700.csv,05-12-2018;teams_800.csv,09-12-2018;teams_600.csv
0,235.0,287.5,217.25,283.75,259.5,264.5,266.25,268.25,256.0,313.25,292.75,246.0,252.25,282.25,310.25,276.75,338.0,243.25,308.75,245.75,348.5,346.5,263.75,248.0,267.25,245.0,246.25,216.25,256.0
1,257.5,241.75,217.75,257.5,241.0,252.25,241.25,257.25,256.75,310.5,276.75,270.25,266.5,257.0,317.5,300.75,329.25,251.5,295.25,255.75,327.75,292.75,274.5,255.0,247.25,249.0,216.5,233.5,230.5
2,233.5,302.25,225.5,260.0,235.75,251.5,246.75,294.75,237.75,313.75,300.75,250.5,254.25,267.5,289.75,324.5,339.5,250.75,288.75,260.5,344.75,319.25,255.5,259.75,246.75,240.0,217.75,234.5,201.0
3,267.75,239.75,261.25,263.5,228.0,269.25,287.0,263.25,238.5,318.75,281.5,224.25,233.75,256.5,310.5,280.0,360.75,232.5,304.0,254.5,322.5,303.0,241.0,288.0,256.25,248.75,227.0,226.0,245.0
4,240.75,286.25,242.5,281.75,243.25,280.75,258.25,281.0,259.0,289.5,282.25,256.5,223.25,267.0,287.0,264.25,309.0,250.5,308.75,267.25,312.75,297.0,235.25,291.0,280.25,242.0,222.5,211.25,219.5
5,233.25,300.25,191.75,276.25,288.5,233.5,262.0,281.25,254.75,320.25,273.25,235.0,258.75,268.0,303.75,309.25,315.5,256.75,317.25,290.25,365.25,316.5,234.5,279.25,260.25,239.0,249.25,210.5,251.75
6,241.5,271.75,227.0,235.75,277.5,249.25,270.5,284.25,246.5,345.75,269.25,241.75,240.0,290.0,279.75,262.0,326.0,269.75,297.25,239.0,304.5,294.0,248.75,239.25,255.75,248.25,251.25,241.25,207.5
7,238.75,254.5,265.75,265.75,254.5,244.75,240.0,291.0,237.25,286.0,241.25,245.0,254.25,278.5,314.25,238.75,303.75,283.5,314.5,244.0,314.5,313.5,227.25,275.0,248.0,249.75,216.25,200.75,269.25
8,257.0,259.25,219.0,283.75,257.5,270.5,242.75,279.0,239.0,289.75,304.5,237.75,255.75,266.5,268.75,249.0,355.25,258.75,292.0,263.5,314.75,310.5,240.0,243.0,265.25,263.25,223.5,207.5,225.5
9,272.25,286.5,269.0,282.0,265.75,256.25,241.25,282.25,282.75,334.5,274.25,245.5,256.0,307.25,290.75,306.0,315.25,272.5,301.5,258.25,356.75,294.25,249.0,278.25,301.5,235.0,208.5,234.75,243.75
10,269.5,280.5,232.0,263.0,256.75,280.0,245.25,269.75,273.75,316.25,267.0,259.0,249.25,250.75,267.75,300.5,359.75,235.25,308.0,269.75,387.25,319.25,226.5,269.0,260.5,249.25,236.75,258.25,282.5
11,251.25,260.25,255.5,237.25,257.5,260.5,263.25,271.75,258.5,294.5,247.25,244.25,227.0,266.75,265.25,291.25,319.25,258.75,288.75,270.25,341.0,297.0,233.5,260.5,255.75,213.5,212.25,243.25,221.5
12,234.25,230.75,236.5,249.25,285.0,248.25,233.25,244.5,277.25,350.5,285.0,252.75,205.0,285.0,303.5,318.75,359.75,272.5,299.5,260.0,328.75,341.75,219.0,251.25,273.5,260.0,232.25,212.25,200.0
13,252.5,291.25,258.75,245.0,252.75,250.75,230.25,279.25,250.5,306.75,262.75,232.5,218.5,295.5,306.5,260.5,336.25,245.5,308.0,286.25,363.0,321.5,217.75,278.5,281.5,232.0,221.5,211.5,256.5
